image_url,question,gt_answer,llava_model_answer,hallucination_type,llama_hallucination_analysis,llama_hallucination_evaluation,llama_hallucination_rating
https://midjourney-image.s3.amazonaws.com/cd805349-6a4a-415a-862f-3b600ec47290.png,Are the man's earring made out of gold or silver? Answer with reasonable length (not too short or too long).,There is no earings; we can not see any earings; the man does not wear any earings,The man's earring is made out of gold.,false premises,"The direct answer to the question is 'The man's earring is made out of gold.' However, according to the ground truth provided by the standard human-generated answer, 'There is no earrings; we can not see any earrings; the man does not wear any earrings,' it is stated that the man does not wear any earrings. Therefore, the direct answer contradicts the ground truth.",yes,4.0
https://midjourney-image.s3.amazonaws.com/awei_Three_cats_wearing_human_tunics_playing_Tai_Chi_in_a_court_ab45c05f-6256-4583-ac25-b1d71b2767dc.png,What outfit color does the cat wearing glasses have? Answer with reasonable length (not too short or too long).,None of the cats on the image are wearing glasses,The cat wearing glasses is dressed in a pink outfit.,false premises,"The direct answer to the question is 'The cat wearing glasses is dressed in a pink outfit.' The ground truth is that none of the cats on the image are wearing glasses. Since the direct answer contradicts the ground truth, it is a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/cc356dca-8593-4314-afd5-70008bfe4c0c.png,What color are the girl's earrings? Answer with reasonable length (not too short or too long).,The girl isn't wearing earrings; we can not see any earings; The girls earings are not visible,"The girl in the image is wearing earrings, but the specific color of the earrings is not clearly visible due to the complexity of the scene and the multitude of colors present.",insufficient context,"The direct answer to the question is 'the girl is wearing earrings', which contradicts the ground truth 'the girl isn't wearing earrings'. However, the response also mentions 'the specific color of the earrings is not clearly visible', which aligns with the ground truth. The extra information about the complexity of the scene and the multitude of colors present is extraneous and does not alter the core answer.",yes,5.0
https://midjourney-image.s3.amazonaws.com/bf2a1f0c-ce90-4b8d-b425-c5ac4910b7cf.png,How many animals are drinking from the pond? Answer with reasonable length (not too short or too long).,There are no animals drinking from the pond.,There are no animals drinking from the pond in the image. It is a digital artwork featuring a fantastical landscape with pink and white trees and a body of water.,false premises,"The direct answer to the question is 'There are no animals drinking from the pond.' This directly aligns with the standard human-generated answer, which also states 'There are no animals drinking from the pond.' Therefore, the response does not contain hallucination.",no,0.0
https://midjourney-image.s3.amazonaws.com/af74a92f-8597-410e-b185-ad37fe1c1956.png,What type of bird is sitting on the elephant? Answer with reasonable length (not too short or too long).,There is not a bird sitting on the elephant; There is no bird; No bird is visible in the image,"There is no bird sitting on the elephant in the image. The image features a stylized, glowing elephant with a vibrant, colorful background.",false premises,"Llava's direct answer to the question is 'There is no bird sitting on the elephant in the image.' This directly aligns with the ground truth provided by the standard human-generated answer, which states 'There is not a bird sitting on the elephant; There is no bird; No bird is visible in the image.' Therefore, the direct answer does not contradict the ground truth, and it is not considered a hallucination.",no,1.0
https://midjourney-image.s3.amazonaws.com/a0a2f988-5a13-44ce-82bf-daf941a8da59.png,What does the patch on the astronauts suit say? Answer with reasonable length (not too short or too long).,There is no patch in the image; There is no text on the astronauts suit; No patch with a text,"The patch on the astronaut's suit reads ""NASA.""",false premises,"The direct answer to the question is that the patch on the astronaut's suit reads 'NASA.' This contradicts the ground truth, which states that there is no patch in the image, no text on the astronauts suit, and no patch with a text. Therefore, the response contains hallucination.",yes,5.0
https://midjourney-image.s3.amazonaws.com/YetiGoose_big_iguana_bully_who_thinks_he_is_the_toughest_in_the_7552af68-5872-4b96-bc41-38b60cb0f19e.png,What color is the boy's pants belt? Answer with reasonable length (not too short or too long).,The boy does not have a belt that is visible.,The boy's pants belt is brown.,false premises,The direct answer 'The boy's pants belt is brown' contradicts the ground truth 'The boy does not have a belt that is visible'. This indicates that the response contains hallucination because it provides an answer that is not supported by the provided details.,yes,4.0
https://midjourney-image.s3.amazonaws.com/a79fe442-6801-44c1-a16f-9c5355c2d506.png,What color is the lid to the lipstick? Answer with reasonable length (not too short or too long).,There is not a lid on the lipstick.,The lid to the lipstick is red.,false premises,"The direct answer to the question is 'The lid to the lipstick is red.' However, the ground truth states that there is no lid on the lipstick. Therefore, the direct answer contradicts the ground truth, marking it as a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/c14c7239-51fc-4b9f-a0ed-b28b5aa55b18.png,What color is the splash on the woman's nose? Answer with reasonable length (not too short or too long).,There is no splash of color on the woman's nose.,The splash on the woman's nose is orange.,false premises,"The direct answer to the question is 'The splash on the woman's nose is orange.' However, the ground truth states that there is no splash of color on the woman's nose. Since the direct answer contradicts the ground truth, it is considered a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/bc9c3787-0d12-4865-8182-a857c09ea5ae.png,What color is the woman's purse? Answer with reasonable length (not too short or too long).,There is no purse present in this image.,The woman in the image does not have a purse.,false premises,"The direct answer to the question is 'The woman in the image does not have a purse.' This directly answers the question about the woman's purse. The ground truth is 'There is no purse present in this image.' Both answers are in agreement, indicating that the woman does not have a purse. Therefore, there is no hallucination in this response.",no,0.0
